timestamp_iso,download_mbps,upload_mbps,ping_ms
2025-08-31T03:40:40.019126+00:00,743.50,759.66,4.13
2025-08-31T03:42:01.023378+00:00,739.67,756.21,4.45
2025-08-31T03:43:22.153881+00:00,747.56,762.17,3.70
2025-08-31T03:44:43.326453+00:00,748.94,755.88,4.28
2025-08-31T03:46:04.484253+00:00,745.85,707.77,4.23
2025-08-31T03:47:25.598562+00:00,744.58,750.91,4.25
2025-08-31T03:48:46.750265+00:00,743.94,755.54,4.13
2025-08-31T03:50:07.826930+00:00,741.94,751.60,4.23
2025-08-31T03:51:29.036463+00:00,749.19,763.29,4.48
2025-08-31T03:52:50.087511+00:00,746.47,757.86,4.18
2025-08-31T03:54:11.220475+00:00,749.50,753.29,4.39
2025-08-31T03:55:32.401841+00:00,747.49,754.55,4.38
2025-08-31T04:13:22.056342+00:00,745.54,756.15,4.65
2025-08-31T04:41:12.627712+00:00,751.00,754.32,4.91
2025-08-31T04:42:34.015699+00:00,750.97,763.06,3.90
2025-08-31T04:43:55.079136+00:00,723.81,754.71,4.60
2025-08-31T04:45:16.467560+00:00,750.57,764.11,4.21
2025-08-31T04:46:37.452328+00:00,729.43,762.61,3.86
2025-08-31T04:47:58.929114+00:00,748.35,754.46,3.82
2025-08-31T04:49:19.961428+00:00,742.76,759.73,3.93
2025-08-31T04:50:40.904794+00:00,743.03,759.02,4.06
2025-08-31T04:52:01.826004+00:00,747.71,755.16,3.76
2025-08-31T04:53:22.838351+00:00,732.32,764.23,3.77
2025-08-31T04:54:43.695327+00:00,747.35,754.62,3.81
2025-08-31T04:56:04.661553+00:00,746.18,755.57,3.95
2025-08-31T04:57:25.622288+00:00,748.23,756.53,3.97
2025-08-31T04:58:46.488447+00:00,708.61,759.63,3.96
2025-08-31T05:01:08.488314+00:00,747.40,759.86,3.79
2025-08-31T05:02:29.411537+00:00,751.02,755.03,4.08
2025-08-31T05:03:50.357703+00:00,740.52,755.73,3.70
2025-08-31T05:05:11.287466+00:00,747.80,763.90,3.86
2025-08-31T05:06:32.263319+00:00,749.21,755.31,4.07
2025-08-31T05:07:53.220061+00:00,750.66,762.34,3.99
2025-08-31T05:09:14.123995+00:00,749.09,759.66,3.90
2025-08-31T05:10:35.031063+00:00,732.68,331.35,4.03
2025-08-31T07:11:52.481646+00:00,750.63,735.05,5.14
2025-08-31T07:13:13.784508+00:00,732.88,762.21,3.90
2025-08-31T07:14:34.680055+00:00,747.56,750.73,6.50
2025-08-31T07:15:55.700011+00:00,750.90,762.22,4.05
2025-08-31T07:17:16.563294+00:00,731.93,758.30,4.04
2025-08-31T07:18:37.481677+00:00,738.58,761.31,3.87
2025-08-31T07:19:58.408423+00:00,739.82,758.80,3.94
2025-08-31T07:21:19.310608+00:00,745.79,761.24,4.62
2025-08-31T07:22:40.226391+00:00,749.44,759.44,3.61
2025-08-31T07:24:01.115855+00:00,737.62,756.48,3.69
2025-08-31T07:25:22.181796+00:00,748.19,754.94,3.82
2025-08-31T07:26:43.126145+00:00,747.90,757.92,3.79
2025-08-31T07:28:04.056504+00:00,748.76,763.21,3.59
2025-08-31T07:29:24.976207+00:00,751.09,757.99,4.18
2025-08-31T07:30:45.934094+00:00,710.29,755.93,3.81
2025-08-31T07:32:07.344850+00:00,751.34,759.41,4.44
2025-08-31T07:33:28.310715+00:00,745.40,752.80,3.78
2025-08-31T07:34:49.242683+00:00,741.43,755.27,3.88
2025-08-31T07:36:10.279439+00:00,749.17,755.82,3.93
2025-08-31T07:37:31.268704+00:00,747.67,753.59,3.83
2025-08-31T07:38:52.300010+00:00,720.02,755.54,3.95
2025-08-31T07:40:13.280846+00:00,748.66,756.83,3.92
2025-08-31T08:05:37.360712+00:00,745.51,759.68,4.64
2025-08-31T08:06:58.843863+00:00,747.38,762.52,3.98
2025-08-31T08:08:19.921137+00:00,742.93,762.46,3.92
2025-08-31T08:09:41.103519+00:00,750.56,757.04,3.97
2025-08-31T08:11:02.184510+00:00,737.05,752.01,4.04
2025-08-31T08:12:23.415062+00:00,748.76,756.40,3.83
2025-08-31T08:13:44.852765+00:00,746.05,754.22,4.03
2025-08-31T08:15:06.134742+00:00,747.24,763.77,3.71
2025-08-31T08:16:27.237199+00:00,749.34,763.31,4.13
2025-08-31T08:17:48.375483+00:00,746.95,754.07,3.83
2025-08-31T08:19:09.577449+00:00,727.68,762.71,4.16
2025-08-31T08:20:30.666587+00:00,750.73,756.56,4.22
2025-08-31T08:21:51.850883+00:00,748.43,751.95,4.12
2025-08-31T08:23:13.073793+00:00,750.79,762.48,4.14
2025-08-31T08:24:34.197308+00:00,748.74,758.32,3.98
2025-08-31T08:25:55.313772+00:00,739.20,757.73,3.60
2025-08-31T08:27:16.561981+00:00,727.37,757.17,4.23
2025-08-31T08:28:37.975667+00:00,743.21,754.23,4.13
2025-08-31T08:29:59.265818+00:00,720.07,405.18,3.66
2025-08-31T10:31:16.973625+00:00,747.18,756.71,4.52
2025-08-31T10:32:38.666044+00:00,733.62,757.15,3.64
2025-08-31T10:33:59.870979+00:00,746.63,756.94,4.15
2025-08-31T10:35:21.109903+00:00,750.83,757.25,3.99
2025-08-31T10:36:42.278793+00:00,747.53,756.65,3.93
2025-08-31T10:38:03.523146+00:00,747.20,762.73,3.84
2025-08-31T10:39:24.592386+00:00,748.50,760.18,4.00
2025-08-31T10:40:45.727249+00:00,746.81,758.74,4.59
2025-08-31T10:42:06.956100+00:00,749.54,756.13,5.90
2025-08-31T10:43:28.148690+00:00,748.41,758.34,3.81
2025-08-31T10:44:49.352469+00:00,745.41,757.42,3.93
2025-08-31T10:46:10.537529+00:00,738.47,755.87,3.81
2025-08-31T10:47:31.850145+00:00,746.46,751.79,11.61
2025-08-31T10:48:53.709515+00:00,746.50,754.08,7.65
2025-08-31T10:50:15.484715+00:00,747.78,755.17,7.66
2025-08-31T10:51:37.131249+00:00,747.29,751.63,10.62
2025-08-31T10:52:58.775470+00:00,744.06,749.66,10.84
2025-08-31T10:54:20.397620+00:00,744.00,753.63,7.47
2025-08-31T10:55:41.992870+00:00,746.10,756.00,7.31
2025-08-31T10:57:03.610511+00:00,739.55,754.91,11.87
2025-08-31T10:58:25.226599+00:00,749.40,753.19,7.55
2025-08-31T10:59:46.877988+00:00,721.42,749.36,11.07
